,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
0,4.6684375,-1.0863101,-0.9206189,-2.0647697,3.9678397,-2.504535,1.7848417,5.543746,-0.5814298,2.136235,2.27648,1.9004793,2.0306761,-0.8478651,-1.9391896,-4.030843,-1.2715981,16.53692,-2.030904,-7.6845465,-8.09366,-5.684886,-1.1116168,0.9795978,1.334379,3.3805492,1
1,-0.18932474,-0.5341672,-1.2165506,-1.0650792,0.18276902,-1.0570102,1.8355876,1.5942891,1.548623,-3.6341493,-1.8848668,-0.47686782,2.6971996,-0.18454367,1.2626988,3.0150955,0.0121656805,-0.7328356,-3.2017474,-0.23016724,-1.094051,-1.5817109,-1.5269649,-3.5647285,9.480547,-1.1473687,8
2,-3.89985,2.382055,0.3924964,-1.8643179,-0.7100897,0.548686,-2.0733893,-3.3647015,0.8037826,1.8567411,-1.4396511,-1.0698833,-0.31011823,2.23626,-0.30151132,0.5983566,-2.5133517,-6.903221,5.6732154,7.7205915,1.6253407,6.020833,0.06519836,1.3989577,-3.5826504,-5.397083,5
3,4.1289096,-0.948215,-0.82313675,-1.9290774,3.16023,-2.074777,1.5368426,4.684857,-0.30393654,1.831982,1.9359984,1.7136569,1.7019459,-0.5795875,-1.6099938,-3.3071804,-1.4092056,13.9481535,-1.6145339,-6.596024,-6.4124904,-4.81484,-1.0229536,0.90618384,1.1919732,2.674438,1
4,2.6640222,0.6751901,2.4802136,1.6635028,-2.0539541,0.70701206,1.5134288,-0.7307349,-0.28467414,1.5432485,0.12978122,0.2037315,-0.8490324,0.8971158,-0.8231329,1.380465,-1.2988843,-1.7051983,-2.5873852,-0.508451,4.5774355,-0.4180276,-0.53892857,5.7548375,-3.1123567,-1.3755766,5
5,1.9689113,1.9599352,5.552335,-0.38499883,0.18548636,1.325707,1.040619,0.04447338,-2.732507,4.050111,-0.96723,1.4056041,0.35206497,1.559268,1.2734531,1.0050615,-1.1779054,-0.62468374,-1.5637609,-0.67014134,0.34657767,4.0873895,-6.183898,11.9384165,-3.8375487,-1.5281488,7
6,-2.3450375,1.172255,-1.1551126,-3.3179126,-0.9512748,2.0353644,-1.6990286,-3.2923295,2.9249089,3.4176667,-0.44534403,2.1090863,-3.4022467,-0.9866662,-0.20392646,0.40063742,-1.0906978,-5.418966,11.37971,0.6114663,4.7087946,3.0275192,1.3164849,0.6365515,-4.7558293,-7.649533,4
7,-1.6524069,2.1509209,3.2225654,0.53611463,0.83699214,-0.090116985,-0.69231206,-0.906504,-2.5300615,0.56500256,-1.474832,-2.2200513,2.1587293,3.3456993,0.7540673,0.28696498,-1.6534761,-3.162304,-3.1749132,6.693928,-2.648114,6.100517,-2.9011626,4.715098,-1.5874532,-0.009684533,3
8,0.35423982,-0.94555247,-2.2933223,-2.1329904,-0.08967541,-2.0910099,3.434379,3.1004848,2.7265437,-4.9180083,-2.5951805,0.33355692,3.8437462,-1.4323585,1.2317553,4.562827,0.38631985,0.8030099,-3.8355784,-2.357611,-1.4599113,-5.096356,-2.481653,-5.1489215,14.89388,-2.0851004,8
9,-2.2207131,0.46080527,-0.1539033,-2.1023877,-2.8226855,0.3932294,-1.3811641,-2.7325563,0.86523396,2.2786891,-0.7489913,1.4884522,-1.523554,-0.52570003,-0.38890663,1.6786151,0.30792043,-5.912802,7.0997114,2.664629,5.268859,0.9077123,-1.9099863,1.5674214,-2.6268232,-4.6875052,2
10,1.242367,1.4689155,4.4337463,-0.038696747,-0.8651027,0.8786459,0.71248007,-0.83975774,-1.9982817,3.086324,-1.1455998,0.6610497,0.37958053,1.7155375,0.6310189,1.9079955,-0.95700365,-2.6527553,-1.4475502,1.1612197,2.1864545,3.532558,-5.078595,9.519927,-3.0140166,-2.255951,7
11,-0.3966288,-0.075023554,-1.7233499,-2.40484,-4.91352,1.503871,-1.3561897,-3.6599407,3.433974,2.3511665,0.51314515,2.5024238,-3.8295763,-0.53356934,-0.8543185,1.5102179,-2.041962,-6.544181,9.45652,0.22680035,10.786935,-0.6321632,1.2970936,0.09143904,-4.6354604,-5.8845687,2
