,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
0,-5.1585965,-4.482629,1.0619184,-5.910978,1.3176699,0.6492258,12.493211,0.3834196,-10.667727,-9.729097,-2.3414695,-3.6777506,-0.29581988,8.5639,-7.958109,-5.6673717,-10.853041,-1.5225412,-13.9335,-12.752647,-15.408203,-10.143413,-10.671781,-15.523917,-10.939857,-9.786163,1
1,-2.9078414,9.621284,10.032841,2.6885164,7.56672,-1.3018537,12.848116,-4.077534,6.997491,-4.034341,-1.3954512,-0.26146492,-5.074012,-6.056224,1.3735793,5.7770844,-9.141973,-11.895855,-11.219125,-9.250941,-14.431177,-11.825466,-12.802481,-13.56671,-0.5640379,-10.677988,8
2,-4.917521,6.482277,0.6517241,-7.3868074,0.5257636,-7.347984,-8.667735,2.7198563,1.1331626,3.767463,1.5694699,-6.5655904,0.6293452,-6.9791784,5.8881817,2.9302912,-11.175888,-14.017322,-8.7127695,-0.6879466,-10.101337,-3.565238,-11.967462,-14.503978,-9.974705,-10.267214,5
3,-5.3546395,-4.769478,0.98407745,-6.124153,1.1742373,1.0138795,13.121662,0.7351667,-10.993648,-9.5601,-2.0015442,-3.6686573,-0.40854013,8.633817,-7.6897154,-5.9467325,-10.895354,-1.3181659,-13.897861,-12.791983,-15.513407,-10.014121,-10.315165,-15.6895,-10.965586,-10.097139,1
4,9.075487,-7.432172,-1.3101785,7.37212,-2.1855562,1.4786735,-6.4810777,-8.516948,0.64043236,2.592551,1.9899486,3.4277859,-1.3749852,2.187191,0.9153674,5.763658,-11.8861,-14.61712,-10.336087,-11.946502,-7.525553,-3.662633,-12.8102,-4.605278,-12.417872,-12.311684,5
5,10.930528,-3.9260821,-2.9813912,9.927881,-2.7723434,-0.07429995,-6.5718703,-9.875684,-0.39565265,0.06269172,-1.1669382,8.063105,-4.6900725,6.454911,0.096297644,8.128942,-11.616955,-14.74832,-10.839486,-13.653553,-10.450865,-4.0357695,-14.686875,-2.1633677,-12.167531,-10.833492,7
6,5.1095414,-3.3663454,0.706617,-1.6713564,-1.8663607,1.4127847,-9.415713,3.349679,0.41968346,11.102236,5.4484487,4.74184,1.1961153,-6.4776926,2.2880476,-2.5804005,-10.030419,-15.577312,-3.655332,-6.5837336,-6.657277,-1.3492717,-10.049517,-10.455814,-13.468646,-15.08725,4
7,-6.5385404,6.0044937,-0.3801038,-5.980033,-0.46132338,-7.3193874,-7.4351525,2.787657,-0.15839177,4.0699897,2.1758215,-7.0461183,0.62108433,-6.602235,6.7676787,3.4285147,-10.878941,-13.657518,-9.540916,-0.7366279,-10.510833,-2.772852,-11.556884,-14.527542,-9.987585,-10.818434,3
8,-2.735481,8.29309,9.247372,2.8420138,6.8007293,-1.0063338,12.278429,-3.983239,5.944177,-3.3747454,-0.8730681,-0.13445391,-4.8256855,-5.5216503,1.374347,5.4401937,-9.231643,-11.740445,-11.212082,-9.413972,-14.1413,-11.121205,-12.563688,-13.290495,-1.3557087,-11.065542,8
9,4.570759,3.5306995,3.111999,-2.1661315,0.4719299,2.1150372,-5.3852882,6.3808355,2.3715549,7.596577,1.2496153,8.814239,-0.2062299,-4.9126263,-2.8446872,-4.4525456,-7.79679,-14.349648,-2.342276,-8.146045,-10.004606,-5.240191,-11.31504,-11.807487,-11.370085,-13.205782,2
